Key,Language,Translation
CHANGE_LANGUAGE,en,🌐 Change Language
CHANGE_LANGUAGE,es,🌐 Cambiar idioma
CHANGE_LANGUAGE,he,🌐 שינוי שפה
CHANGE_LANGUAGE,yi,🌐 ענדערן שפראך
CHANGE_LANGUAGE,fr,🌐 Changer de langue
CHOOSE_LANGUAGE,en,Choose a language
CHOOSE_LANGUAGE,es,Elige un idioma
CHOOSE_LANGUAGE,he,בחרו שפה
CHOOSE_LANGUAGE,yi,קלייב א שפראך
CHOOSE_LANGUAGE,fr,Choisissez une langue
LANGUAGE_CHANGED,en,Language changed to English
LANGUAGE_CHANGED,es,Idioma cambiado a español
LANGUAGE_CHANGED,he,השפה הוחלפה לעברית
LANGUAGE_CHANGED,yi,שפראך אנדערט צו יידיש
LANGUAGE_CHANGED,fr,Langue changée en français
START_CMD,en,!start
START_CMD,es,!start; !comenzar; !iniciar
START_CMD,he,!start; !התחל; !התחילו
START_CMD,yi,!start; !שטארטן; !אָנהייבן
START_CMD,fr,!start; !commencer; !démarrer
START_CMD_DESC,en,📚 Start the bot
START_CMD_DESC,es,📚 Inicia el bot
START_CMD_DESC,he,📚 התחילו את הבוט
START_CMD_DESC,yi,📚 שטארטן די באט
START_CMD_DESC,fr,📚 Démarrer le bot
CHANGE_LANG_CMD,en,!lang
CHANGE_LANG_CMD,es,!lang; !idioma; !lengua
CHANGE_LANG_CMD,he,!lang; !שפה; !שינוישפה
CHANGE_LANG_CMD,yi,!lang; !שפראך; !ענדערןשפראך
CHANGE_LANG_CMD,fr,!lang; !langue; !changer de langue
CHANGE_LANG_CMD_DESC,en,🌐 Change the language
CHANGE_LANG_CMD_DESC,es,🌐 Cambia el idioma
CHANGE_LANG_CMD_DESC,he,🌐 שינוי שפה
CHANGE_LANG_CMD_DESC,yi,🌐 ענדערן שפראך
CHANGE_LANG_CMD_DESC,fr,🌐 Changer de langue
STATS_CMD,en,!stats
STATS_CMD,es,!stats; !estadísticas
STATS_CMD,he,!stats; !סטטיסטיקות
STATS_CMD,yi,!stats; !סטאטיסטיקס
STATS_CMD,fr,!stats; !statistiques
STATS_CMD_DESC,en,📊 Show bot stats
STATS_CMD_DESC,es,📊 Muestra las estadísticas del bot
STATS_CMD_DESC,he,📊 הצג סטטיסטיקות על הבוט
STATS_CMD_DESC,yi,📊 ווייַזן באט סטעטס
STATS_CMD_DESC,fr,📊 Afficher les statistiques du bot
BROWSE_CMD,en,!browse
BROWSE_CMD,es,!browse; !explorar
BROWSE_CMD,he,!browse; !עיון
BROWSE_CMD,yi,!browse; !בראויז
BROWSE_CMD,fr,!browse; !parcourir
BROWSE_CMD_DESC,en,📖 Browse the library
BROWSE_CMD_DESC,es,📖 Explora la biblioteca
BROWSE_CMD_DESC,he,📖 עיון בספריה
BROWSE_CMD_DESC,yi,📖 בראויז די ביבליאָטעק
BROWSE_CMD_DESC,fr,📖 Parcourir la bibliothèque
SEARCH_CMD,en,!search
SEARCH_CMD,es,!search; !buscar
SEARCH_CMD,he,!search; !חיפוש; !חפש
SEARCH_CMD,yi,!search; !סערטש
SEARCH_CMD,fr,!search; !recherche
SEARCH_CMD_DESC,en,🔎 Search for a book
SEARCH_CMD_DESC,es,🔎 Busca un libro
SEARCH_CMD_DESC,he,🔎 חיפוש ספר
SEARCH_CMD_DESC,yi,🔎 סערטש אַ בוך
SEARCH_CMD_DESC,fr,🔎 Rechercher un livre
CONTACT_US_CMD,en,!contact
CONTACT_US_CMD,es,!contacto; !contactar
CONTACT_US_CMD,he,!contact; !צורקשר
CONTACT_US_CMD,yi,!contact; !קאנטאקט
CONTACT_US_CMD,fr,!contact; !contacter
CONTACT_US_CMD_DESC,en,📧 Contact us
CONTACT_US_CMD_DESC,es,📧 Contáctanos
CONTACT_US_CMD_DESC,he,📧 יצירת קשר
CONTACT_US_CMD_DESC,yi,📧 קאנטאקט אונז
CONTACT_US_CMD_DESC,fr,📧 Contactez-nous
ABOUT,en,ℹ️ About
ABOUT,es,ℹ️ Acerca de 
ABOUT,he,ℹ️ אודות
ABOUT,yi,ℹ️ וועגן
ABOUT,fr,?? À propos
BACK,en,🔙 Back
BACK,es,🔙 Atrás 
BACK,he,🔙 חזרה
BACK,yi,🔙 צוריק
BACK,fr,🔙 Retour
BOOK_NOT_FOUND,en,Book not found
BOOK_NOT_FOUND,es,Libro no encontrado 
BOOK_NOT_FOUND,he,ספר לא נמצא
BOOK_NOT_FOUND,yi,דער ספר איז נישט בנימצא
BOOK_NOT_FOUND,fr,Livre introuvable
BROWSE,en,📖 Browse
BROWSE,es,📖 Explorar 
BROWSE,he,📖 עיון
BROWSE,yi,📖 בראויז
BROWSE,fr,📖 Parcourir
CHOOSE,en,Choose
CHOOSE,es,Elige 
CHOOSE,he,בחרו
CHOOSE,yi,קלייב אויס
CHOOSE,fr,Choisir
CHOOSE_BROWSE_TYPE,en,Choose a browse type
CHOOSE_BROWSE_TYPE,es,Elige un tipo de exploración
CHOOSE_BROWSE_TYPE,he,בחר סוג עיון
CHOOSE_BROWSE_TYPE,yi,קלייב אויס א סוג בראויזער 
CHOOSE_BROWSE_TYPE,fr,Choisissez un type de navigation
CHOOSE_DATE_RANGE,en,Choose a date range
CHOOSE_DATE_RANGE,es,Elige un rango de fecha 
CHOOSE_DATE_RANGE,he,בחרו טווח תאריכים
CHOOSE_DATE_RANGE,yi,קלייב די דאטומס
CHOOSE_DATE_RANGE,fr,Choisissez une plage de dates
CHOOSE_LETTER,en,Choose a letter
CHOOSE_LETTER,es,Elige una letra 
CHOOSE_LETTER,he,בחרו אות
CHOOSE_LETTER,yi,קלייב אן אות
CHOOSE_LETTER,fr,Choisissez une lettre
CHOOSE_MASECHET,en,Choose a masechet
CHOOSE_MASECHET,es,Elige un masechet 
CHOOSE_MASECHET,he,בחרו מסכת
CHOOSE_MASECHET,yi,קלייב א מסכת
CHOOSE_MASECHET,fr,Choisissez un maschet
CHOOSE_SUBJECT,en,Choose a subject
CHOOSE_SUBJECT,es,Elige un tema 
CHOOSE_SUBJECT,he,בחרו נושא
CHOOSE_SUBJECT,yi,קלייב א סאבדזשעקט
CHOOSE_SUBJECT,fr,Choisissez un sujet
DATE_RANGES,en,📅 Date Ranges
DATE_RANGES,es,📅 Rangos de fecha 
DATE_RANGES,he,📅 תאריכים
DATE_RANGES,yi,📅 דאטומס 
DATE_RANGES,fr,📅 Plages de dates
DATE_RANGES_CMD,en,"!date, 1945"
DATE_RANGES_CMD,es,"!fecha, 1945 "
DATE_RANGES_CMD,he,"!תאריך, תר""נ"
DATE_RANGES_CMD,yi,"!דאטום, תר''נ"
DATE_RANGES_CMD,fr,"! date, 1945"
DOCUMENT,en,📄 Document
DOCUMENT,es,📄 Documento 
DOCUMENT,he,📄 מסמך
DOCUMENT,yi,📄 דאקיומענט
DOCUMENT,fr,📄 Document
DOWNLOAD,en,⬇️ Download ⬇️
DOWNLOAD,es,⬇️ Descargar ⬇️ 
DOWNLOAD,he,⬇️ הורדה ⬇️
DOWNLOAD,yi,⬇️דאונלאוד⬇️
DOWNLOAD,fr,⬇️ Télécharger ⬇️
HEBREWBOOKS_SITE,en,🌍 HebrewBooks Website 🌍
HEBREWBOOKS_SITE,es,🌍 Sitio web de HebrewBooks 🌍 
HEBREWBOOKS_SITE,he,🌍 אתר היברובוקס 🌍
HEBREWBOOKS_SITE,yi,🌍 היברובוקס וועבסייט 🌍
HEBREWBOOKS_SITE,fr,🌍 HebrewBooks Site Web 🌍
IMAGE,en,🖼 Image
IMAGE,es,🖼 Imagen
IMAGE,he,🖼 תמונה
IMAGE,yi,🖼 בילד
IMAGE,fr,🖼 Image
IN_MEMORY_FOOTER,en,"🕯 In memory of Rabbi Aharon Yitzchak ben Shmuel Zanvil z""l"
IN_MEMORY_FOOTER,es,"🕯 En memoria del rabino Aharon Yitzchak ben Shmuel Zanvil z""l "
IN_MEMORY_FOOTER,he,"🕯 לעילוי נשמת הרב אהרן יצחק בן שמואל זנוויל ז""ל"
IN_MEMORY_FOOTER,yi,"🕯 לעילוי נשמת הרב אהרן יצחק בן שמואל זנוויל ז""ל"
IN_MEMORY_FOOTER,fr,"🕯 À la mémoire du rabbin Aharon Yitzchak ben Shmuel Zanvil z""l"
INSTANT_READ,en,📖 Instant Read 📖
INSTANT_READ,es,📖 Lectura instantánea 📖 
INSTANT_READ,he,📖 קריאה מהירה 📖
INSTANT_READ,yi,📖 שנעל ליינען 📖
INSTANT_READ,fr,📖 Lecture instantanée 📖
JUMP_ALSO_BY_EDIT_TIP,en,"Tip: instead of browsing, reply to this message with the page number you want to read.
You can also edit the number you sent and the page will update accordingly."
JUMP_ALSO_BY_EDIT_TIP,es,"Consejo: en lugar de explorar, responde a este mensaje con el número de página que quieres leer. También puedes editar el número que enviaste y la página se actualizará en consecuencia. "
JUMP_ALSO_BY_EDIT_TIP,he,"טיפ: במקום לדפדף, הגיבו על ההודעה הזו עם מספר העמוד שברצונכם לקרוא.
ניתן גם לערוך את המספר ששלחתם והעמוד ישתנה בהתאם."
JUMP_ALSO_BY_EDIT_TIP,yi,"עצה: אנשטאט בראויזין, ענטפער דעם מעסעדזש מיט די בלאט נאמבער וואס איר ווילט ליינען. 
איר קענט אויך עדיטן דעם נאמבער וואס איר האט געשיקט, און די בלאט וועט טוישען אקארדענגלי."
JUMP_ALSO_BY_EDIT_TIP,fr,"Conseil : au lieu de parcourir, répondez à ce message avec le numéro de la page que vous souhaitez lire. Vous pouvez également modifier le numéro que vous avez envoyé et la page sera mise à jour en conséquence."
JUMP_TIP,en,"Tip: instead of browsing, reply to this message with the page number you want to read."
JUMP_TIP,es,"Consejo: en lugar de explorar, responde a este mensaje con el número de página que quieres leer. "
JUMP_TIP,he,"טיפ: במקום לדפדף, הגיבו על ההודעה הזו עם מספר העמוד שברצונכם לקרוא."
JUMP_TIP,yi,"עצה: אנשטאט בראויזין, ענטפער דעם מעסעדזש מיט די בלאט נאמבער וואס איר ווילט ליינען."
JUMP_TIP,fr,"Conseil : au lieu de parcourir, répondez à ce message avec le numéro de page que vous souhaitez lire."
LETTERS,en,🔠 Letters
LETTERS,es,🔠 Letras 
LETTERS,he,🔠 אותיות
LETTERS,yi,🔠 אותיות
LETTERS,fr,🔠 Lettres
LETTERS_CMD,en,"!let, א"
LETTERS_CMD,es,"!let, א "
LETTERS_CMD,he,"!אות, א"
LETTERS_CMD,yi,"!אות, א"
LETTERS_CMD,fr,"! laisse, א"
MASECHET_NOT_FOUND,en,Masechet not found
MASECHET_NOT_FOUND,es,Masechet no encontrado 
MASECHET_NOT_FOUND,he,מסכת לא נמצאה
MASECHET_NOT_FOUND,yi,דער מסכת איז נישט צו בנימצא
MASECHET_NOT_FOUND,fr,Masechet introuvable
NAVIGATE_BETWEEN_RESULTS,en,Navigate between results
NAVIGATE_BETWEEN_RESULTS,es,Navega entre los resultados 
NAVIGATE_BETWEEN_RESULTS,he,נווטו בין התוצאות
NAVIGATE_BETWEEN_RESULTS,yi,וואנדער אדורך די תוצאות
NAVIGATE_BETWEEN_RESULTS,fr,Naviguer entre les résultats
NEXT,en,Next ⏩
NEXT,es,Siguiente ⏩ 
NEXT,he,הבא ⏪
NEXT,yi,נעקסט ⏪
NEXT,fr,Suivant ⏩
NO_BOOK_SELECTED,fr,Aucun livre sélectionné ou le message est trop ancien
NO_BOOK_SELECTED,en,No book selected or the message is too old
NO_BOOK_SELECTED,es,No se ha seleccionado ningún libro o el mensaje es demasiado antiguo 
NO_BOOK_SELECTED,he,לא נבחר ספר או שההודעה נשלחה לפני זמן רב
NO_BOOK_SELECTED,yi,"קיין בוך איז נישט אויסגעקליבן געווארען, אָדער דער מעסעדזש איז צו אלט."
NO_RESULTS_FOR_Q,en,No results found for: {q}
NO_RESULTS_FOR_Q,es,No se encontraron resultados para: {q} 
NO_RESULTS_FOR_Q,he,לא נמצאו תוצאות עבור: {q}
NO_RESULTS_FOR_Q,yi,נישט דא קיין תוצאות פאר: {q}
NO_RESULTS_FOR_Q,fr,Aucun résultat trouvé pour : {q}
CLICK_TO_REGISTER,en,Click here to register
NOT_REGISTERED_TITLE,en,You are not registered in the bot
NOT_REGISTERED_BODY,en,Please send /start to the bot in order to register
CLICK_TO_REGISTER,es,Haz clic aquí para registrarte
NOT_REGISTERED_TITLE,es,No estás registrado en el bot
NOT_REGISTERED_BODY,es,"Por favor, envía /start al bot para registrarte"
CLICK_TO_REGISTER,he,לחצו כאן כדי להירשם
NOT_REGISTERED_TITLE,he,אינכם רשומים לבוט
NOT_REGISTERED_BODY,he,אנא שלחו /start לבוט כדי להירשם
CLICK_TO_REGISTER,yi,קליק דא אויף דער רעגיסטרירן
NOT_REGISTERED_TITLE,yi,איר זענט נישט איינגעשריבען אין דעם באט. ביטע שיקט /start צו די באט כדי איינצושרייבען
NOT_REGISTERED_BODY,yi,ביטע שיקט /start צו די באט כדי איינצושרייבען
CLICK_TO_REGISTER,fr,Cliquez ici pour vous inscrire
NOT_REGISTERED_TITLE,fr,Vous n'êtes pas inscrit sur le bot
NOT_REGISTERED_BODY,fr,Veuillez envoyer /start au bot pour vous inscrire
NUMBERS_ONLY,en,Please use numbers only
NUMBERS_ONLY,es,"Por favor, usa solo números"
NUMBERS_ONLY,he,יש להשתמש במספרים בלבד
NUMBERS_ONLY,yi,באנוצט זיך נאר מיט נאמבערס
NUMBERS_ONLY,fr,Veuillez utiliser uniquement des chiffres
ORIGINAL_SEARCH_DELETED,en,The original search was deleted
ORIGINAL_SEARCH_DELETED,es,La búsqueda original fue eliminada 
ORIGINAL_SEARCH_DELETED,he,החיפוש המקורי נמחק
ORIGINAL_SEARCH_DELETED,yi,דער אריגינאלער סערטש איז אויסגעמעקט
ORIGINAL_SEARCH_DELETED,fr,La recherche originale a été supprimée
PAGE_NOT_EXIST_CHOOSE_BETWEEN_X_Y,en,The page does not exist! (Choose a page between {x} and {y})
PAGE_NOT_EXIST_CHOOSE_BETWEEN_X_Y,es,La página no existe! (Elige una página entre {x} y {y}) 
PAGE_NOT_EXIST_CHOOSE_BETWEEN_X_Y,he,הדף אינו קיים! (בחרו דף בין {x} ל-{y})
PAGE_NOT_EXIST_CHOOSE_BETWEEN_X_Y,yi,דער בלאט עקזיסטירט נישט! (קלײבט אַ בלאט צווישן {x} און {y})
PAGE_NOT_EXIST_CHOOSE_BETWEEN_X_Y,fr,"La page n'existe pas ! (Choisissez une page entre {x} et {y})"""
PAGE_X_OF_Y,en,Page {x} of {y}
PAGE_X_OF_Y,es,Página {x} de {y} 
PAGE_X_OF_Y,he,עמוד {x} מתוך {y}
PAGE_X_OF_Y,yi,בלאט  {x} פון {y}
PAGE_X_OF_Y,fr,Page {x} sur {y}
PRESS_TO_SHARE,en,Click on the result to share {title}
PRESS_TO_SHARE,es,Haz clic en el resultado para compartir {title} 
PRESS_TO_SHARE,he,לחצו על התוצאה כדי לשתף את {title}
PRESS_TO_SHARE,yi,קליק אויף דער תוצאה כדי צו שערין דער {title}
PRESS_TO_SHARE,fr,Cliquez sur le résultat pour partager {title}
PREVIOUS,en,⏪ Previous
PREVIOUS,es,⏪ Anterior 
PREVIOUS,he,⏩ הקודם
PREVIOUS,yi,⏩פריער
PREVIOUS,fr,⏪ Précédent
PYWA_CREDIT,en,⚡ Powered by PyWa
PYWA_CREDIT,es,⚡ Impulsado por PyWa 
PYWA_CREDIT,he,⚡ נבנה באמצעות PyWa
PYWA_CREDIT,yi,⚡ געבויט דורך PyWa
PYWA_CREDIT,fr,? Propulsé par PyWa
READ_ON_SITE,en,🌍 Read on site 🌍
READ_ON_SITE,es,🌍 Leer en el sitio 🌍
READ_ON_SITE,he,🌍 קריאה באתר 🌍
READ_ON_SITE,yi,🌍 ליין אויף די סייט 🌍
READ_ON_SITE,fr,🌍 Lire sur le site 🌍
RESEARCH,en,🔍 Research
RESEARCH,es,🔍 Investigación
RESEARCH,he,🔍 חיפוש מחדש
RESEARCH,yi,🔍 סערטש נאכאמאל
RESEARCH,fr,🔍 Recherche
SEARCH,en,🔎 Search
SEARCH,es,🔎 Buscar 
SEARCH,he,🔎 חיפוש
SEARCH,yi,סערטש
SEARCH,fr,🔎 Recherche
SEARCH_IN_CHATS,en,🔎 Search in chats
SEARCH_IN_CHATS,es,🔎 Buscar en chats 
SEARCH_IN_CHATS,he,🔎 חיפוש בצאטים
SEARCH_IN_CHATS,yi,סערטש אין די טשאטס
SEARCH_IN_CHATS,fr,🔎 Recherche dans les chats
SEARCH_INLINE,en,🔎 Inline Search
SEARCH_INLINE,es,🔎 Búsqueda inline 
SEARCH_INLINE,he,🔎 חיפוש באינליין
SEARCH_INLINE,yi,🔎 אינליין סערטש
SEARCH_INLINE,fr,🔎 Recherche en ligne
SEARCH_INSTRUCTIONS,en,"🔎 To search for a book, send a message with your search query"
SEARCH_INSTRUCTIONS,es,"🔎 Para buscar un libro, envía un mensaje con tu consulta de búsqueda "
SEARCH_INSTRUCTIONS,he,"🔎 כדי לחפש ספר, שלחו הודעה עם מילות החיפוש"
SEARCH_INSTRUCTIONS,yi,"🔎 כדי צו סערטשין א ספר, שיק א מעסעדזש מיט די סערטש קווערי"
SEARCH_INSTRUCTIONS,fr,"🔎 Pour rechercher un livre, envoyez un message avec votre requête de recherche"
SEARCH_RESULTS,en,📚 Results 📚
SEARCH_RESULTS,es,📚 Resultados 📚 
SEARCH_RESULTS,he,📚 תוצאות חיפוש 📚
SEARCH_RESULTS,yi,📚 תוצאות 📚
SEARCH_RESULTS,fr,📚 Résultats 📚
SEARCH_TIP,en,Tip: You can search in the 'Title:Author' format in order to get more accurate results
SEARCH_TIP,es,Consejo: Puedes buscar en el formato ‘Título:Autor’ para obtener resultados más precisos 
SEARCH_TIP,he,טיפ: ניתן לחפש בפורמט 'כותרת:מחבר' על מנת לקבל תוצאות מדוייקות
SEARCH_TIP,yi,עצה: איר קענט סערטשין מיט דעם פארמאט 'טיטל: מחבר' כּדי צו באַקומען מער פּינקטלעכע תוצאות
